page,num,type,width_px,height_px,color,components,bpc,encoding,interpolate,object_id,generation,x_ppi,y_ppi,file,bytes,sha256
38,48,mask,378,265,-,1,1,image,no,1169,0,137,140,p038_n048_mask_obj1169.png,2028,aa76e5efa87dc8eb26100f34a8ef785eb56c8d83a93f5dd1850622d5d5597f46
38,49,image,827,567,rgb,3,8,jpeg,no,1171,0,300,300,p038_n049_image_obj1171.jpg,41751,a25c1091527e74f7680f0e1835c77029ea9b081a85203422be982af7a0f1d2d4
38,50,mask,827,567,-,1,1,image,no,1171,0,300,300,p038_n050_mask_obj1171.png,5371,39a186042517a25bec6a3276d09620d07adbd3bec595e0d77042ac25fb166fda
39,51,image,268,221,rgb,3,8,jpeg,no,763,0,96,103,p039_n051_image_obj763.jpg,10562,daeb481b3db0bae025d0b1c8700709e02015fa18fb7c6f6cd569b5cfb5d197ea
39,52,image,268,221,rgb,3,8,jpeg,no,764,0,96,103,p039_n052_image_obj764.jpg,11426,1aa57b39c8aea52e31ec2abd1ad65a1b24cbadcc0bc2d63b8358a8e8cab76f9e
39,53,image,1182,827,rgb,3,8,jpeg,no,1189,0,429,438,p039_n053_image_obj1189.jpg,65037,73cebf77fbdb330d3e35f5c899a339596f0f49596cdc8193c0318e9366c5ea7d
39,54,mask,1182,827,-,1,1,image,no,1189,0,429,438,p039_n054_mask_obj1189.png,6681,630fc19d460234f340e5514bedfef23c078bc3e6f6bd690a343107d230f04d91
39,55,image,827,567,rgb,3,8,jpeg,no,1191,0,300,300,p039_n055_image_obj1191.jpg,41864,1a492b241b1fc1164f2267bc234af0632b1ecb2e7bb7f00163a227592259e4ec
39,56,mask,827,567,-,1,1,image,no,1191,0,300,300,p039_n056_mask_obj1191.png,5573,424b141acc6262db5b5f878e0a11a85301533d767d2397038bc859b9d9897138
39,57,image,827,567,rgb,3,8,jpeg,no,1193,0,300,300,p039_n057_image_obj1193.jpg,40730,5db7d8d550c674f016176d3d8e59076011225e7331aabcbe2a05ff5d600304dd
39,58,mask,827,567,-,1,1,image,no,1193,0,300,300,p039_n058_mask_obj1193.png,5432,18b5e03520e7a74b215d37bca653b98e930da7f71ea04697cbc0c6c811ec6632
39,59,image,827,567,rgb,3,8,jpeg,no,1195,0,300,300,p039_n059_image_obj1195.jpg,40725,32757fa7a20e1657cfdfebac3be2080c403e4727d40f0ce37c9e3232216a582d
39,60,mask,827,567,-,1,1,image,no,1195,0,300,300,p039_n060_mask_obj1195.png,5170,c81134658781b50a3657a65659b2603b359e9c8c288f1b3fbcafd8f3f5f0e6ea
40,61,image,903,632,rgb,3,8,jpeg,no,787,0,300,300,p040_n061_image_obj787.jpg,72490,d8abd9781c50e1d4708fd3d5a65df48c2741bfa9281a9f5b098897d5eee30824
40,62,mask,903,632,-,1,1,image,no,787,0,300,300,p040_n062_mask_obj787.png,10259,76bd7637352f0bf97a79bce130b56ae17d9a2dafe6e949b6fa92de575aa1db9e
40,63,image,903,632,rgb,3,8,jpeg,no,789,0,300,300,p040_n063_image_obj789.jpg,69807,4efc3d3ab9705548befe0f7d0db64149a583faa7d72aacdb9861129c88d75c8c
40,64,mask,903,632,-,1,1,image,no,789,0,300,300,p040_n064_mask_obj789.png,10207,7c2699cad7b5c3d412a09fc8a073bfcfe6c7437736a4c01106d9790b54d7b8ea
53,65,image,1261,271,rgb,3,8,jpeg,no,533,0,192,192,p053_n065_image_obj533.jpg,33155,827c3f9eb224fb0b6b241aa2f6bd0d2c3f1d23515478c0f9f226e188de4acf57
54,66,image,413,294,rgb,3,8,jpeg,no,569,0,160,168,p054_n066_image_obj569.jpg,15049,00fdc7bad945d19766351cd20c376986af86fd6e272946535e4ce0a21cbdda9c
54,67,image,413,291,rgb,3,8,jpeg,no,570,0,164,170,p054_n067_image_obj570.jpg,14918,05afb422887308010b285332208b2b19420936f3afee0854729b38306313bcbd
59,68,image,378,265,rgb,3,8,jpeg,no,727,0,133,133,p059_n068_image_obj727.jpg,16052,394e7e02539509af035d586274dd963e4b49df96642069345b1caa114a51667f
59,69,mask,378,265,-,1,1,image,no,727,0,133,133,p059_n069_mask_obj727.png,2194,f394995936d355c9c94e4b796a1f78c262ac6575d8b331b4d961f0682ebd0a0c
59,70,image,378,265,rgb,3,8,jpeg,no,729,0,133,133,p059_n070_image_obj729.jpg,16174,32b8ef5a2c7234a542687cfe58b9cf57545286f0e9de242c5bf2fb51f1c259be
59,71,mask,378,265,-,1,1,image,no,729,0,133,133,p059_n071_mask_obj729.png,1951,7ab91dab8eba35cfeab6921ffafa433d319e69ad356cb5ee2ff86b8727d5b2ca
59,72,image,378,265,rgb,3,8,jpeg,no,731,0,133,133,p059_n072_image_obj731.jpg,15798,f4ee5a900fde2e5fa0afc843f7585e7ebb11451a5bbc323e2c4177bd64f54252
59,73,mask,378,265,-,1,1,image,no,731,0,133,133,p059_n073_mask_obj731.png,1942,aee5c44eb77197efb205285b4295be46ba8f0fbaac6caaf59ee4f7ac8eb31e7a
59,74,image,378,265,rgb,3,8,jpeg,no,733,0,133,133,p059_n074_image_obj733.jpg,15570,6b2604d04dfa1078e25fd05f12e41e9833c46152be29d8eb5ea5404b1e9c3434
